,Event timestamp,tokenId,event_type
0,2022-08-03T10:32:59.292547,56,created
1,2022-08-03T10:32:08.601933,3097,created
2,2022-08-03T09:29:22.533641,4971,created
3,2022-08-03T09:27:45.105605,2252,created
4,2022-08-03T09:24:31.832897,1676,created
5,2022-08-03T09:16:15.151946,3505,created
6,2022-08-03T09:08:17.878264,6467,created
7,2022-08-03T08:40:57.800975,5581,created
8,2022-08-03T08:37:12.032754,2836,created
9,2022-08-03T08:16:37.867098,4412,created
10,2022-08-03T08:04:18.519398,6467,created
11,2022-08-03T07:20:36.026463,1457,created
12,2022-08-03T06:40:55.965294,5582,created
13,2022-08-03T06:25:41.565393,1601,created
14,2022-08-03T06:18:37.528814,6112,created
15,2022-08-03T06:15:06.619553,3292,created
16,2022-08-03T06:06:07.731466,56,created
17,2022-08-03T05:53:12.081257,56,created
18,2022-08-03T05:47:48.462548,8629,created
19,2022-08-03T05:43:53.834122,5754,created
20,2022-08-03T05:33:05.256742,5024,created
21,2022-08-03T05:10:02.127356,4309,created
22,2022-08-03T04:59:44.098693,2633,created
23,2022-08-03T04:41:01.122090,5582,created
24,2022-08-03T04:38:57.450877,2685,created
25,2022-08-03T04:38:51.299836,2683,created
26,2022-08-03T04:27:04.926175,7271,created
27,2022-08-03T04:24:09.875794,2446,created
28,2022-08-03T04:15:49.577468,6732,created
29,2022-08-03T04:14:04.392921,8939,created
30,2022-08-03T04:00:38.538303,4624,created
31,2022-08-03T04:00:18.475633,3296,created
32,2022-08-03T03:56:40.477027,7364,created
33,2022-08-03T03:55:54.766381,6421,created
34,2022-08-03T03:55:26.640526,7624,created
35,2022-08-03T03:47:06.929068,1138,created
36,2022-08-03T03:41:55.492774,6611,created
37,2022-08-03T03:19:40.933058,6838,created
38,2022-08-03T03:18:10.830025,2001,created
39,2022-08-03T03:12:54.262841,6467,created
40,2022-08-03T03:02:17.418660,3292,created
41,2022-08-03T02:49:57.129480,2593,created
42,2022-08-03T02:48:21.142961,6326,created
43,2022-08-03T02:47:10.231505,3569,created
44,2022-08-03T02:45:44.971334,9660,created
45,2022-08-03T02:45:28.465689,8238,created
46,2022-08-03T02:36:07.488476,1464,created
47,2022-08-03T02:35:52.066682,1657,created
48,2022-08-03T02:31:35.019584,6931,created
49,2022-08-03T02:28:36.691866,6640,created
50,2022-08-03T02:19:05.706262,9216,created
51,2022-08-03T02:18:58.915181,3254,created
52,2022-08-03T02:18:44.934680,2523,created
53,2022-08-03T02:14:28.787580,7093,created
54,2022-08-03T02:07:39.141709,5582,created
55,2022-08-03T02:06:46.469004,9050,created
56,2022-08-03T02:05:42.847823,7093,created
57,2022-08-03T02:02:30.161916,5125,created
58,2022-08-03T01:47:04.358103,2204,created
59,2022-08-03T01:45:33.043742,5582,created
60,2022-08-03T01:41:53.134178,8677,created
61,2022-08-03T01:41:05.545549,2039,created
62,2022-08-03T01:39:40.907144,3158,created
63,2022-08-03T01:33:35.022073,3296,created
64,2022-08-03T01:28:10.037935,2499,created
65,2022-08-03T01:27:14.630201,3505,created
66,2022-08-03T01:27:13.005947,7510,created
67,2022-08-03T01:26:35.085376,6640,created
68,2022-08-03T01:20:18.676492,4679,created
69,2022-08-03T01:19:52.602821,6640,created
70,2022-08-03T01:18:22.111471,8636,created
71,2022-08-03T01:15:48.333554,5366,created
72,2022-08-03T01:15:36.135742,4679,created
73,2022-08-03T01:15:34.458693,6467,created
74,2022-08-03T01:14:23.782458,1423,created
75,2022-08-03T00:43:51.408639,7093,created
76,2022-08-03T00:36:05.165111,9845,created
77,2022-08-03T00:12:50.926282,9751,created
78,2022-08-03T00:09:02.105909,6407,created
79,2022-08-03T00:08:15.958226,2081,created
